GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,BLK_DAY_RANK
3/6/2019,BKN,Brooklyn Nets,BKN vs. CLE,Rodions Kurucs,F,28.9,6714,1,7056,1,12618,3,272,4,8828,1,10110,7,3913,0,11467,0,15731,5
3/6/2019,CHA,Charlotte Hornets,CHA vs. MIA,Nicolas Batum,F-G,26.9,7719,3,1597,3,5849,2,812,3,11548,0,13385,7,3913,1,4317,4,786,6
3/6/2019,UTA,Utah Jazz,UTA @ NOP,Derrick Favors,F-C,39.5,2784,1,7056,1,12618,2,812,9,1419,6,1093,5,7038,1,4317,2,4097,7
3/6/2019,PHI,Philadelphia 76ers,PHI @ CHI,James Ennis III,F,25.4,8548,1,7056,0,18130,2,812,5,6509,0,13385,7,3913,0,11467,0,15731,8
3/6/2019,MIA,Miami Heat,MIA @ CHA,Bam Adebayo,C-F,23,9940,0,12874,0,18130,2,812,5,6509,0,13385,5,7038,2,1393,5,338,9
3/6/2019,SAS,San Antonio Spurs,SAS @ ATL,LaMarcus Aldridge,C-F,47.8,1257,1,7056,0,18130,2,812,11,549,9,316,9,2204,1,4317,4,786,10
3/5/2019,IND,Indiana Pacers,IND vs. CHI,Myles Turner,C-F,45.2,1663,1,7056,2,8551,7,3,3,11548,3,4174,11,1140,0,11467,2,4097,1
3/5/2019,TOR,Toronto Raptors,TOR vs. HOU,Serge Ibaka,C-F,44,1856,0,12874,2,8551,5,37,4,8828,2,6102,15,299,0,11467,2,4097,2
3/5/2019,OKC,Oklahoma City Thunder,OKC @ MIN,Steven Adams,C,38.2,3126,0,12874,2,8551,3,272,5,6509,3,4174,11,1140,1,4317,3,1827,3
3/5/2019,CHI,Chicago Bulls,CHI @ IND,Robin Lopez,C,42.5,2099,0,12874,1,12618,3,272,9,1419,2,6102,10,1582,0,11467,0,15731,4
3/5/2019,BOS,Boston Celtics,BOS @ GSW,Daniel Theis,F,17.8,13309,0,12874,4,3929,2,812,0,21502,2,6102,4,9339,0,11467,1,8514,5
