GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,DAY_RANK
3/5/2019,MIN,Minnesota Timberwolves,MIN vs. OKC,Jeff Teague,G,44,1856,1,7056,12,111,1,2443,5,6509,5,1672,5,7038,1,4317,2,4097,10
3/4/2019,NOP,New Orleans Pelicans,NOP @ UTA,Julius Randle,C-F,56.1,505,0,12874,5,2659,1,2443,10,888,10,204,8,2894,2,1393,0,15731,1
3/4/2019,PHX,Phoenix Suns,PHX vs. MIL,Kelly Oubre Jr.,F,54.1,639,1,7056,1,12618,3,272,7,3260,12,89,13,591,1,4317,2,4097,2
3/4/2019,SAC,Sacramento Kings,SAC vs. NYK,Buddy Hield,G,52.7,745,3,1597,7,1184,1,2443,9,1419,7,723,6,5192,2,1393,2,4097,3
3/4/2019,LAL,Los Angeles Lakers,LAL vs. LAC,Rajon Rondo,G,52,794,4,662,12,111,0,7843,10,888,0,13385,10,1582,1,4317,5,338,4
3/4/2019,SAS,San Antonio Spurs,SAS vs. DEN,DeMar DeRozan,G,50.7,919,0,12874,7,1184,1,2443,11,549,2,6102,6,5192,3,415,3,1827,5
3/4/2019,NOP,New Orleans Pelicans,NOP @ UTA,Anthony Davis,F-C,49.7,1029,1,7056,3,5849,3,272,7,3260,0,13385,11,1140,3,415,1,8514,6
3/4/2019,LAL,Los Angeles Lakers,LAL vs. LAC,LeBron James,F,49.6,1039,1,7056,6,1803,1,2443,9,1419,8,447,8,2894,1,4317,2,4097,7
3/4/2019,MIL,Milwaukee Bucks,MIL @ PHX,Giannis Antetokounmpo,F,48.6,1153,0,12874,6,1803,0,7843,8,2174,5,1672,13,591,3,415,6,130,8
3/4/2019,UTA,Utah Jazz,UTA vs. NOP,Rudy Gobert,C,47.8,1257,0,12874,0,18130,2,812,8,2174,3,4174,19,70,0,11467,0,15731,9
3/4/2019,PHX,Phoenix Suns,PHX vs. MIL,Deandre Ayton,C,45.4,1629,0,12874,2,8551,3,272,8,2174,3,4174,12,814,0,11467,0,15731,10
3/31/2019,SAS,San Antonio Spurs,SAS vs. SAC,LaMarcus Aldridge,C-F,62.1,241,0,12874,3,5849,1,2443,12,318,3,4174,18,108,2,1393,0,15731,1
3/31/2019,OKC,Oklahoma City Thunder,OKC vs. DAL,Russell Westbrook,G,57.7,423,3,1597,11,183,0,7843,9,1419,4,2601,11,1140,2,1393,3,1827,2
3/31/2019,LAL,Los Angeles Lakers,LAL @ NOP,Rajon Rondo,G,55,573,4,662,12,111,0,7843,9,1419,2,6102,5,7038,3,415,2,4097,3
3/31/2019,DEN,Denver Nuggets,DEN vs. WAS,Nikola Jokic,C,52.8,735,0,12874,4,3929,1,2443,11,549,1,10110,14,434,2,1393,2,4097,4
3/31/2019,ATL,Atlanta Hawks,ATL vs. MIL,John Collins,F-C,52.4,762,3,1597,4,3929,3,272,9,1419,2,6102,12,814,0,11467,0,15731,5
3/31/2019,MIL,Milwaukee Bucks,MIL @ ATL,Sterling Brown,G,52.3,770,5,280,3,5849,1,2443,10,888,2,6102,9,2204,3,415,2,4097,6
3/31/2019,LAL,Los Angeles Lakers,LAL @ NOP,JaVale McGee,C,51.7,818,0,12874,3,5849,1,2443,9,1419,5,1672,16,207,1,4317,1,8514,7
3/31/2019,LAC,LA Clippers,LAC vs. MEM,Danilo Gallinari,F,49.5,1057,1,7056,5,2659,0,7843,6,4636,14,42,15,299,0,11467,3,1827,8
3/31/2019,WAS,Washington Wizards,WAS @ DEN,Thomas Bryant,C,49.3,1075,0,12874,3,5849,3,272,9,1419,2,6102,14,434,0,11467,1,8514,9
3/31/2019,OKC,Oklahoma City Thunder,OKC vs. DAL,Paul George,F,49.2,1089,5,280,2,8551,1,2443,8,2174,6,1093,11,1140,2,1393,3,1827,10
3/30/2019,HOU,Houston Rockets,HOU vs. SAC,James Harden,G,75.2,48,7,46,10,325,0,7843,13,186,17,13,11,1140,0,11467,3,1827,1
3/30/2019,MEM,Memphis Grizzlies,MEM @ PHX,Jonas Valanciunas,C,74.5,58,0,12874,5,2659,2,812,16,39,2,6102,20,48,2,1393,3,1827,2
3/30/2019,DET,Detroit Pistons,DET vs. POR,Andre Drummond,C,68.8,109,0,12874,4,3929,3,272,9,1419,4,2601,19,70,4,121,3,1827,3
3/30/2019,PHX,Phoenix Suns,PHX vs. MEM,Devin Booker,G,62.1,241,3,1597,11,183,0,7843,19,7,7,723,3,12137,0,11467,6,130,4
3/30/2019,PHI,Philadelphia 76ers,PHI @ MIN,Ben Simmons,G,50.7,919,0,12874,9,525,1,2443,8,2174,4,2601,11,1140,2,1393,5,338,5
3/30/2019,ORL,Orlando Magic,ORL @ IND,Aaron Gordon,F,50.5,944,4,662,7,1184,0,7843,9,1419,1,10110,10,1582,2,1393,1,8514,6
3/30/2019,MEM,Memphis Grizzlies,MEM @ PHX,Mike Conley,G,50.3,963,2,3543,5,2659,0,7843,10,888,11,128,4,9339,2,1393,1,8514,7
3/30/2019,BKN,Brooklyn Nets,BKN vs. BOS,D'Angelo Russell,G,49.6,1039,4,662,10,325,0,7843,12,318,1,10110,3,12137,2,1393,4,786,8
3/30/2019,HOU,Houston Rockets,HOU vs. SAC,Clint Capela,C,48.5,1171,0,12874,1,12618,2,812,10,888,4,2601,15,299,0,11467,1,8514,9
3/30/2019,NYK,New York Knicks,NYK vs. MIA,Luke Kornet,F-C,48.1,1213,5,280,3,5849,3,272,5,6509,2,6102,8,2894,3,415,1,8514,10
3/3/2019,ORL,Orlando Magic,ORL @ CLE,Nikola Vucevic,C,61.6,259,0,12874,6,1803,2,812,13,186,2,6102,13,591,2,1393,3,1827,1
3/3/2019,HOU,Houston Rockets,HOU @ BOS,James Harden,G,61.4,272,6,113,4,3929,1,2443,14,108,8,447,7,3913,2,1393,4,786,2
3/3/2019,POR,Portland Trail Blazers,POR @ CHA,Jusuf Nurkic,C,60,327,0,12874,6,1803,1,2443,8,2174,10,204,15,299,2,1393,2,4097,3
3/3/2019,WAS,Washington Wizards,WAS vs. MIN,Bradley Beal,G,53.4,689,2,3543,8,789,1,2443,7,3260,6,1093,7,3913,3,415,1,8514,4
3/3/2019,MIN,Minnesota Timberwolves,MIN @ WAS,Karl-Anthony Towns,C,52.5,758,2,3543,7,1184,1,2443,12,318,2,6102,10,1582,1,4317,4,786,5
3/3/2019,TOR,Toronto Raptors,TOR @ DET,Kyle Lowry,G,50.9,899,6,113,5,2659,0,7843,11,549,7,723,7,3913,1,4317,3,1827,6
3/3/2019,ATL,Atlanta Hawks,ATL @ CHI,Alex Len,C,47.8,1257,5,280,2,8551,2,812,9,1419,5,1672,9,2204,0,11467,0,15731,7
3/3/2019,HOU,Houston Rockets,HOU @ BOS,Chris Paul,G,47.2,1353,3,1597,12,111,1,2443,4,8828,4,2601,6,5192,3,415,5,338,8
3/3/2019,MEM,Memphis Grizzlies,MEM @ OKC,Avery Bradley,G,46.5,1455,2,3543,7,1184,0,7843,11,549,3,4174,5,7038,2,1393,3,1827,9
3/3/2019,OKC,Oklahoma City Thunder,OKC vs. MEM,Dennis Schroder,G,46.4,1473,1,7056,6,1803,1,2443,6,4636,4,2601,12,814,2,1393,3,1827,10
3/29/2019,WAS,Washington Wizards,WAS @ UTA,Bobby Portis,F,63.6,196,6,113,4,3929,1,2443,11,549,0,13385,13,591,4,121,1,8514,1
3/29/2019,LAL,Los Angeles Lakers,LAL vs. CHA,Rajon Rondo,G,56.7,467,1,7056,17,4,0,7843,3,11548,0,13385,6,5192,6,3,1,8514,2
3/29/2019,OKC,Oklahoma City Thunder,OKC vs. DEN,Russell Westbrook,G,54.3,622,1,7056,9,525,0,7843,11,549,4,2601,9,2204,2,1393,3,1827,3
3/29/2019,GSW,Golden State Warriors,GSW @ MIN,Stephen Curry,G,52.1,783,11,2,5,2659,0,7843,13,186,0,13385,3,12137,2,1393,2,4097,4
3/29/2019,POR,Portland Trail Blazers,POR @ ATL,Damian Lillard,G,51.1,878,4,662,7,1184,1,2443,13,186,6,1093,3,12137,0,11467,2,4097,5
3/29/2019,GSW,Golden State Warriors,GSW @ MIN,Kevin Durant,F,50.9,899,2,3543,7,1184,2,812,8,2174,5,1672,12,814,0,11467,3,1827,6
3/29/2019,WAS,Washington Wizards,WAS @ UTA,Bradley Beal,G,50.8,910,2,3543,6,1803,0,7843,13,186,6,1093,4,9339,2,1393,3,1827,7
3/29/2019,DEN,Denver Nuggets,DEN @ OKC,Jamal Murray,G,49.5,1057,3,1597,9,525,0,7843,11,549,2,6102,5,7038,1,4317,0,15731,8
3/29/2019,BOS,Boston Celtics,BOS vs. IND,Kyrie Irving,G,47.9,1243,3,1597,5,2659,0,7843,11,549,5,1672,2,15352,3,415,1,8514,9
3/29/2019,DEN,Denver Nuggets,DEN @ OKC,Nikola Jokic,C,47.7,1274,1,7056,3,5849,0,7843,10,888,2,6102,16,207,1,4317,2,4097,10
3/28/2019,PHI,Philadelphia 76ers,PHI vs. BKN,Joel Embiid,F-C,73.6,62,3,1597,6,1803,1,2443,12,318,12,89,13,591,3,415,2,4097,1
3/28/2019,DET,Detroit Pistons,DET vs. ORL,Andre Drummond,C,63.6,196,0,12874,4,3929,6,10,9,1419,0,13385,18,108,1,4317,3,1827,2
3/28/2019,SAC,Sacramento Kings,SAC @ NOP,De'Aaron Fox,G,59,364,1,7056,12,111,1,2443,11,549,2,6102,5,7038,3,415,2,4097,3
3/28/2019,MIL,Milwaukee Bucks,MIL vs. LAC,Khris Middleton,F,58.3,394,4,662,5,2659,0,7843,16,39,3,4174,9,2204,1,4317,2,4097,4
3/28/2019,MIL,Milwaukee Bucks,MIL vs. LAC,Giannis Antetokounmpo,F,57.3,435,2,3543,5,2659,1,2443,10,888,12,89,9,2204,1,4317,1,8514,5
3/28/2019,MIA,Miami Heat,MIA vs. DAL,Goran Dragic,G,56.9,458,0,12874,11,183,1,2443,9,1419,5,1672,12,814,1,4317,3,1827,6
3/28/2019,HOU,Houston Rockets,HOU vs. DEN,James Harden,G,56.2,497,5,280,6,1803,1,2443,10,888,13,62,6,5192,1,4317,4,786,7
