GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,FG_DAY_RANK
11/28/2018,PHI,Philadelphia 76ers,PHI vs. NYK,JJ Redick,G,28.4,6972,4,662,2,8551,0,7843,10,888,0,13385,2,15352,0,11467,1,8514,7
11/28/2018,CLE,Cleveland Cavaliers,CLE @ OKC,Jordan Clarkson,G,34.6,4279,4,662,2,8551,0,7843,10,888,1,10110,3,12137,1,4317,0,15731,8
11/28/2018,NOP,New Orleans Pelicans,NOP vs. WAS,Julius Randle,C-F,36.4,3640,0,12874,0,18130,1,2443,10,888,3,4174,12,814,1,4317,7,51,9
11/28/2018,PHI,Philadelphia 76ers,PHI vs. NYK,Joel Embiid,F-C,58.3,394,0,12874,7,1184,1,2443,10,888,6,1093,14,434,1,4317,1,8514,10
11/27/2018,PHX,Phoenix Suns,PHX vs. IND,T.J. Warren,F,39.4,2808,2,3543,0,18130,1,2443,11,549,1,10110,7,3913,1,4317,0,15731,1
11/27/2018,MEM,Memphis Grizzlies,MEM vs. TOR,Marc Gasol,C,48.8,1132,4,662,4,3929,2,812,10,888,3,4174,4,9339,2,1393,1,8514,2
11/27/2018,LAL,Los Angeles Lakers,LAL @ DEN,Kyle Kuzma,F,30.1,6151,1,7056,3,5849,1,2443,9,1419,2,6102,3,12137,0,11467,2,4097,3
11/27/2018,DEN,Denver Nuggets,DEN vs. LAL,Paul Millsap,F,44.2,1823,0,12874,2,8551,2,812,9,1419,2,6102,11,1140,1,4317,1,8514,4
11/27/2018,DET,Detroit Pistons,DET vs. NYK,Blake Griffin,F,40.3,2579,0,12874,5,2659,0,7843,9,1419,12,89,4,9339,0,11467,2,4097,5
11/27/2018,DEN,Denver Nuggets,DEN vs. LAL,Jamal Murray,G,26.6,7890,2,3543,4,3929,0,7843,8,2174,2,6102,3,12137,0,11467,3,1827,6
11/27/2018,TOR,Toronto Raptors,TOR @ MEM,Kyle Lowry,G,32.4,5131,5,280,6,1803,0,7843,8,2174,3,4174,2,15352,0,11467,3,1827,7
11/27/2018,DEN,Denver Nuggets,DEN vs. LAL,Malik Beasley,G,30.8,5846,2,3543,0,18130,0,7843,8,2174,2,6102,4,9339,2,1393,0,15731,8
11/27/2018,NYK,New York Knicks,NYK @ DET,Enes Kanter,C,41.8,2238,0,12874,2,8551,1,2443,8,2174,0,13385,14,434,1,4317,0,15731,9
11/27/2018,PHX,Phoenix Suns,PHX vs. IND,Devin Booker,G,40.8,2462,3,1597,8,789,0,7843,7,3260,3,4174,4,9339,3,415,5,338,10
11/26/2018,HOU,Houston Rockets,HOU @ WAS,James Harden,G,81.1,16,7,46,13,71,0,7843,17,21,13,62,8,2894,3,415,11,1,1
11/26/2018,GSW,Golden State Warriors,GSW vs. ORL,Kevin Durant,F,77.7,36,4,662,9,525,2,812,16,39,13,62,6,5192,2,1393,4,786,2
11/26/2018,WAS,Washington Wizards,WAS vs. HOU,John Wall,G,57.1,447,2,3543,11,183,2,812,13,186,8,447,3,12137,0,11467,5,338,3
11/26/2018,WAS,Washington Wizards,WAS vs. HOU,Bradley Beal,G,43.2,1973,4,662,4,3929,2,812,12,318,4,2601,1,18809,0,11467,2,4097,4
11/26/2018,ORL,Orlando Magic,ORL @ GSW,Nikola Vucevic,C,55.4,556,1,7056,6,1803,0,7843,12,318,5,1672,12,814,1,4317,1,8514,5
11/26/2018,HOU,Houston Rockets,HOU @ WAS,Eric Gordon,G,40.4,2551,8,22,2,8551,0,7843,12,318,4,2601,2,15352,0,11467,1,8514,6
11/26/2018,GSW,Golden State Warriors,GSW vs. ORL,Klay Thompson,G,41.5,2292,6,113,1,12618,2,812,11,549,1,10110,5,7038,0,11467,1,8514,7
11/26/2018,CHI,Chicago Bulls,CHI vs. SAS,Zach LaVine,G,40.9,2437,3,1597,7,1184,0,7843,10,888,5,1672,7,3913,0,11467,6,130,8
11/26/2018,BOS,Boston Celtics,BOS @ NOP,Kyrie Irving,G,56,510,5,280,10,325,0,7843,10,888,1,10110,5,7038,5,25,6,130,9
11/26/2018,MIN,Minnesota Timberwolves,MIN @ CLE,Karl-Anthony Towns,C,35.5,3937,2,3543,1,12618,0,7843,9,1419,1,10110,10,1582,1,4317,2,4097,10
11/25/2018,BKN,Brooklyn Nets,BKN vs. PHI,D'Angelo Russell,G,61.6,259,2,3543,8,789,1,2443,16,39,4,2601,8,2894,0,11467,1,8514,1
11/25/2018,PHX,Phoenix Suns,PHX @ DET,Devin Booker,G,45.3,1643,3,1597,5,2659,0,7843,14,108,6,1093,4,9339,0,11467,4,786,2
11/25/2018,LAC,LA Clippers,LAC @ POR,Tobias Harris,F,51.7,818,2,3543,1,12618,0,7843,14,108,4,2601,11,1140,1,4317,0,15731,3
11/25/2018,MIA,Miami Heat,MIA @ TOR,Dwyane Wade,G,50,995,4,662,6,1803,1,2443,13,186,5,1672,5,7038,0,11467,3,1827,4
11/25/2018,POR,Portland Trail Blazers,POR vs. LAC,Damian Lillard,G,40.2,2601,3,1597,4,3929,0,7843,12,318,3,4174,6,5192,0,11467,3,1827,5
11/25/2018,BKN,Brooklyn Nets,BKN vs. PHI,Spencer Dinwiddie,G,39.1,2887,4,662,5,2659,0,7843,11,549,5,1672,3,12137,0,11467,3,1827,6
11/25/2018,PHI,Philadelphia 76ers,PHI @ BKN,Joel Embiid,F-C,54.4,611,0,12874,4,3929,2,812,11,549,10,204,12,814,0,11467,4,786,7
11/25/2018,UTA,Utah Jazz,UTA @ SAC,Ricky Rubio,G,39.9,2682,2,3543,5,2659,0,7843,11,549,3,4174,7,3913,0,11467,3,1827,8
11/25/2018,ATL,Atlanta Hawks,ATL vs. CHA,John Collins,F-C,43.2,1973,0,12874,4,3929,1,2443,11,549,1,10110,11,1140,0,11467,2,4097,9
11/25/2018,PHI,Philadelphia 76ers,PHI @ BKN,Jimmy Butler,G,62.4,228,5,280,2,8551,0,7843,11,549,7,723,12,814,4,121,1,8514,10
11/24/2018,CLE,Cleveland Cavaliers,CLE vs. HOU,Collin Sexton,G,33.8,4580,1,7056,2,8551,0,7843,14,108,0,13385,4,9339,0,11467,3,1827,1
11/24/2018,HOU,Houston Rockets,HOU @ CLE,James Harden,G,58.3,394,5,280,13,71,0,7843,14,108,7,723,4,9339,1,4317,9,7,2
11/24/2018,GSW,Golden State Warriors,GSW vs. SAC,Kevin Durant,F,69.1,101,2,3543,7,1184,2,812,13,186,16,19,13,591,0,11467,7,51,3
11/24/2018,SAS,San Antonio Spurs,SAS @ MIL,DeMar DeRozan,G,52.3,770,1,7056,7,1184,0,7843,13,186,7,723,4,9339,1,4317,0,15731,4
11/24/2018,MIN,Minnesota Timberwolves,MIN vs. CHI,Karl-Anthony Towns,C,68.6,115,1,7056,6,1803,0,7843,13,186,8,447,23,12,0,11467,3,1827,5
11/24/2018,SAC,Sacramento Kings,SAC @ GSW,Buddy Hield,G,41.9,2216,4,662,3,5849,1,2443,12,318,0,13385,7,3913,0,11467,2,4097,6
11/24/2018,WAS,Washington Wizards,WAS vs. NOP,Otto Porter Jr.,F,48.4,1182,3,1597,4,3929,0,7843,12,318,2,6102,7,3913,2,1393,1,8514,7
11/24/2018,GSW,Golden State Warriors,GSW vs. SAC,Klay Thompson,G,34.8,4198,5,280,0,18130,0,7843,12,318,2,6102,4,9339,0,11467,1,8514,8
11/24/2018,CHI,Chicago Bulls,CHI @ MIN,Jabari Parker,F,44.4,1795,3,1597,4,3929,1,2443,11,549,2,6102,7,3913,1,4317,3,1827,9
11/24/2018,NOP,New Orleans Pelicans,NOP @ WAS,Julius Randle,C-F,58.5,386,1,7056,7,1184,0,7843,10,888,8,447,15,299,1,4317,2,4097,10
11/23/2018,HOU,Houston Rockets,HOU @ DET,Clint Capela,C,67.7,122,0,12874,1,12618,3,272,14,108,1,10110,21,32,2,1393,3,1827,1
11/23/2018,MIL,Milwaukee Bucks,MIL vs. PHX,Giannis Antetokounmpo,F,50.5,944,0,12874,3,5849,0,7843,14,108,7,723,10,1582,1,4317,4,786,2
11/23/2018,SAS,San Antonio Spurs,SAS @ IND,LaMarcus Aldridge,C-F,57.3,435,0,12874,3,5849,2,812,14,108,5,1672,14,434,0,11467,3,1827,3
11/23/2018,GSW,Golden State Warriors,GSW vs. POR,Kevin Durant,F,62.3,233,2,3543,7,1184,3,272,13,186,4,2601,9,2204,2,1393,6,130,4
11/23/2018,PHX,Phoenix Suns,PHX @ MIL,Devin Booker,G,50.3,963,1,7056,7,1184,0,7843,13,186,2,6102,4,9339,3,415,3,1827,5
11/23/2018,NOP,New Orleans Pelicans,NOP @ NYK,Anthony Davis,F-C,52.2,779,1,7056,4,3929,0,7843,12,318,8,447,11,1140,0,11467,0,15731,6
11/23/2018,GSW,Golden State Warriors,GSW vs. POR,Klay Thompson,G,45.9,1547,4,662,1,12618,1,2443,12,318,3,4174,7,3913,2,1393,4,786,7
11/23/2018,TOR,Toronto Raptors,TOR vs. WAS,Kawhi Leonard,F,47,1378,1,7056,2,8551,0,7843,12,318,2,6102,10,1582,2,1393,1,8514,8
11/23/2018,MEM,Memphis Grizzlies,MEM @ LAC,Marc Gasol,C,55.1,566,1,7056,7,1184,1,2443,11,549,4,2601,13,591,0,11467,1,8514,9
11/23/2018,CHI,Chicago Bulls,CHI vs. MIA,Zach LaVine,G,42.3,2137,1,7056,9,525,1,2443,11,549,1,10110,4,9339,0,11467,3,1827,10
11/21/2018,UTA,Utah Jazz,UTA vs. SAC,Donovan Mitchell,G,43.9,1878,4,662,3,5849,1,2443,13,186,5,1672,2,15352,0,11467,1,8514,1
11/21/2018,MIL,Milwaukee Bucks,MIL vs. POR,Giannis Antetokounmpo,F,71.7,73,1,7056,9,525,0,7843,13,186,6,1093,16,207,3,415,3,1827,2
11/21/2018,NOP,New Orleans Pelicans,NOP @ PHI,E'Twaun Moore,G,33.9,4546,3,1597,1,12618,0,7843,13,186,1,10110,2,15352,0,11467,0,15731,3
11/21/2018,OKC,Oklahoma City Thunder,OKC @ GSW,Dennis Schroder,G,44.8,1717,5,280,4,3929,0,7843,12,318,3,4174,4,9339,1,4317,1,8514,4
11/21/2018,HOU,Houston Rockets,HOU vs. DET,Clint Capela,C,56,510,0,12874,0,18130,4,98,12,318,3,4174,15,299,0,11467,1,8514,5
11/21/2018,ATL,Atlanta Hawks,ATL vs. TOR,Jeremy Lin,G,32.2,5198,4,662,2,8551,0,7843,11,549,0,13385,1,18809,1,4317,1,8514,6
11/21/2018,GSW,Golden State Warriors,GSW vs. OKC,Kevin Durant,F,51.3,863,1,7056,3,5849,3,272,11,549,4,2601,14,434,0,11467,6,130,7
11/21/2018,SAC,Sacramento Kings,SAC @ UTA,Willie Cauley-Stein,C,38.9,2942,0,12874,1,12618,0,7843,11,549,1,10110,7,3913,2,1393,0,15731,8
11/21/2018,PHI,Philadelphia 76ers,PHI vs. NOP,Joel Embiid,F-C,55.8,519,2,3543,2,8551,2,812,11,549,7,723,19,70,0,11467,7,51,9
