GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,AST_DAY_RANK
3/4/2019,ATL,Atlanta Hawks,ATL @ MIA,Trae Young,G,24.6,8971,0,12874,8,789,0,7843,4,8828,6,1093,3,12137,1,4317,8,25,6
3/4/2019,DEN,Denver Nuggets,DEN @ SAS,Jamal Murray,G,38.4,3074,6,113,8,789,0,7843,8,2174,3,4174,2,15352,1,4317,4,786,7
3/4/2019,UTA,Utah Jazz,UTA vs. NOP,Ricky Rubio,G,23.6,9606,1,7056,8,789,0,7843,1,18112,0,13385,3,12137,2,1393,1,8514,8
3/4/2019,SAS,San Antonio Spurs,SAS vs. DEN,DeMar DeRozan,G,50.7,919,0,12874,7,1184,1,2443,11,549,2,6102,6,5192,3,415,3,1827,9
3/4/2019,PHX,Phoenix Suns,PHX vs. MIL,Devin Booker,G,37.5,3321,2,3543,7,1184,0,7843,8,2174,4,2601,5,7038,1,4317,4,786,10
3/31/2019,ATL,Atlanta Hawks,ATL vs. MIL,Trae Young,G,47,1378,2,3543,16,13,0,7843,5,6509,0,13385,5,7038,2,1393,1,8514,1
3/31/2019,MIL,Milwaukee Bucks,MIL @ ATL,Tim Frazier,G,48.9,1121,2,3543,15,25,0,7843,8,2174,2,6102,7,3913,1,4317,5,338,2
3/31/2019,LAL,Los Angeles Lakers,LAL @ NOP,Rajon Rondo,G,55,573,4,662,12,111,0,7843,9,1419,2,6102,5,7038,3,415,2,4097,3
3/31/2019,OKC,Oklahoma City Thunder,OKC vs. DAL,Russell Westbrook,G,57.7,423,3,1597,11,183,0,7843,9,1419,4,2601,11,1140,2,1393,3,1827,4
3/31/2019,GSW,Golden State Warriors,GSW vs. CHA,Kevin Durant,F,23.9,9428,1,7056,9,525,0,7843,5,6509,0,13385,2,15352,0,11467,3,1827,5
3/31/2019,GSW,Golden State Warriors,GSW vs. CHA,Draymond Green,F,29.5,6436,2,3543,9,525,1,2443,4,8828,0,13385,5,7038,0,11467,3,1827,6
3/31/2019,DAL,Dallas Mavericks,DAL @ OKC,Trey Burke,G,39.4,2808,4,662,8,789,0,7843,10,888,1,10110,2,15352,0,11467,0,15731,7
3/31/2019,SAS,San Antonio Spurs,SAS vs. SAC,DeMar DeRozan,G,35.9,3812,0,12874,7,1184,0,7843,8,2174,0,13385,2,15352,3,415,2,4097,8
3/31/2019,WAS,Washington Wizards,WAS @ DEN,Jordan McRae,G,28.7,6816,0,12874,7,1184,1,2443,3,11548,1,10110,6,5192,1,4317,2,4097,9
3/31/2019,WAS,Washington Wizards,WAS @ DEN,Bradley Beal,G,36.6,3598,0,12874,6,1803,0,7843,6,4636,5,1672,3,12137,3,415,2,4097,10
3/30/2019,PHX,Phoenix Suns,PHX vs. MEM,Devin Booker,G,62.1,241,3,1597,11,183,0,7843,19,7,7,723,3,12137,0,11467,6,130,1
3/30/2019,HOU,Houston Rockets,HOU vs. SAC,James Harden,G,75.2,48,7,46,10,325,0,7843,13,186,17,13,11,1140,0,11467,3,1827,2
3/30/2019,SAC,Sacramento Kings,SAC @ HOU,De'Aaron Fox,G,47.4,1326,4,662,10,325,2,812,6,4636,2,6102,7,3913,1,4317,3,1827,3
3/30/2019,MIA,Miami Heat,MIA @ NYK,Goran Dragic,G,22.4,10328,2,3543,10,325,0,7843,4,8828,0,13385,2,15352,0,11467,5,338,4
3/30/2019,BKN,Brooklyn Nets,BKN vs. BOS,D'Angelo Russell,G,49.6,1039,4,662,10,325,0,7843,12,318,1,10110,3,12137,2,1393,4,786,5
3/30/2019,ORL,Orlando Magic,ORL @ IND,D.J. Augustin,G,30.8,5846,1,7056,10,325,0,7843,5,6509,0,13385,4,9339,0,11467,0,15731,6
3/30/2019,PHI,Philadelphia 76ers,PHI @ MIN,Ben Simmons,G,50.7,919,0,12874,9,525,1,2443,8,2174,4,2601,11,1140,2,1393,5,338,7
