GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,STL_DAY_RANK
3/26/2019,CHI,Chicago Bulls,CHI @ TOR,Wayne Selden,G,30.4,6027,2,3543,2,8551,0,7843,8,2174,2,6102,2,15352,3,415,4,786,9
3/26/2019,MIN,Minnesota Timberwolves,MIN vs. LAC,Josh Okogie,G,30.3,6073,0,12874,3,5849,1,2443,3,11548,3,4174,4,9339,3,415,0,15731,10
3/25/2019,MEM,Memphis Grizzlies,MEM vs. OKC,Delon Wright,G,50.1,986,0,12874,13,71,0,7843,8,2174,2,6102,3,12137,4,121,3,1827,1
3/25/2019,OKC,Oklahoma City Thunder,OKC @ MEM,Steven Adams,C,31.6,5459,0,12874,0,18130,3,272,1,18112,0,13385,8,2894,4,121,1,8514,2
3/25/2019,UTA,Utah Jazz,UTA vs. PHX,Royce O'Neale,F,15.9,14616,1,7056,1,12618,0,7843,2,14769,0,13385,2,15352,3,415,2,4097,3
3/25/2019,UTA,Utah Jazz,UTA vs. PHX,Jae Crowder,F,23.6,9606,1,7056,2,8551,0,7843,4,8828,0,13385,3,12137,3,415,1,8514,4
3/25/2019,ORL,Orlando Magic,ORL vs. PHI,Aaron Gordon,F,29.1,6612,2,3543,3,5849,0,7843,5,6509,0,13385,8,2894,2,1393,3,1827,5
3/25/2019,UTA,Utah Jazz,UTA vs. PHX,Donovan Mitchell,G,22.3,10410,2,3543,3,5849,0,7843,4,8828,0,13385,4,9339,2,1393,3,1827,6
3/25/2019,POR,Portland Trail Blazers,POR vs. BKN,Rodney Hood,G,29.9,6238,1,7056,3,5849,0,7843,8,2174,1,10110,2,15352,2,1393,1,8514,7
3/25/2019,OKC,Oklahoma City Thunder,OKC @ MEM,Terrance Ferguson,G,27.1,7599,3,1597,3,5849,0,7843,4,8828,2,6102,3,12137,2,1393,0,15731,8
3/25/2019,POR,Portland Trail Blazers,POR vs. BKN,Maurice Harkless,F,33.1,4834,2,3543,3,5849,0,7843,5,6509,1,10110,8,2894,2,1393,0,15731,9
3/25/2019,PHX,Phoenix Suns,PHX @ UTA,Deandre Ayton,C,23.4,9721,0,12874,0,18130,1,2443,4,8828,1,10110,7,3913,2,1393,3,1827,10
3/24/2019,SAC,Sacramento Kings,SAC @ LAL,De'Aaron Fox,G,41.2,2357,1,7056,4,3929,1,2443,3,11548,2,6102,6,5192,6,3,2,4097,1
3/24/2019,HOU,Houston Rockets,HOU @ NOP,Chris Paul,G,45.1,1677,1,7056,13,71,0,7843,4,8828,1,10110,3,12137,5,25,3,1827,2
3/24/2019,CHA,Charlotte Hornets,CHA @ TOR,Kemba Walker,G,55.1,566,2,3543,13,71,0,7843,3,11548,7,723,8,2894,4,121,1,8514,3
3/24/2019,IND,Indiana Pacers,IND vs. DEN,Cory Joseph,G,18.5,12859,0,12874,3,5849,0,7843,1,18112,0,13385,0,22086,4,121,0,15731,4
3/24/2019,CLE,Cleveland Cavaliers,CLE @ MIL,Larry Nance Jr.,F,32.8,4968,2,3543,6,1803,0,7843,5,6509,1,10110,4,9339,3,415,3,1827,5
3/24/2019,MIL,Milwaukee Bucks,MIL vs. CLE,Pat Connaughton,G,25.4,8548,1,7056,2,8551,0,7843,3,11548,2,6102,7,3913,2,1393,1,8514,6
3/24/2019,CHA,Charlotte Hornets,CHA @ TOR,Frank Kaminsky,F-C,20.4,11636,1,7056,2,8551,0,7843,4,8828,0,13385,2,15352,2,1393,0,15731,7
3/24/2019,DET,Detroit Pistons,DET @ GSW,Wayne Ellington,G,13.5,16246,1,7056,3,5849,0,7843,1,18112,0,13385,0,22086,2,1393,0,15731,8
3/24/2019,NYK,New York Knicks,NYK vs. LAC,Mitchell Robinson,C,25.4,8548,0,12874,2,8551,2,812,0,21502,2,6102,7,3913,2,1393,0,15731,9
3/24/2019,IND,Indiana Pacers,IND vs. DEN,Thaddeus Young,F,25.7,8378,0,12874,5,2659,0,7843,3,11548,2,6102,6,5192,2,1393,3,1827,10
3/23/2019,PHI,Philadelphia 76ers,PHI @ ATL,Ben Simmons,G,57.7,423,0,12874,9,525,2,812,9,1419,3,4174,6,5192,4,121,2,4097,1
